completed_at,exercise_title
2024-07-14T00:00:00.000Z,Docstrings to the rescue!
2024-10-12T00:00:00.000Z,Constructing a URL with parameters
2024-09-01T00:00:00.000Z,Setting dtype when reading data (2)
2024-08-14T00:00:00.000Z,Divvy Up This Exercise
2024-08-14T00:00:00.000Z,A classy span
2024-09-03T00:00:00.000Z,Speech Translation with Whisper
2024-08-15T00:00:00.000Z,"Get an ""a"" in this Course"
2024-10-13T00:00:00.000Z,Sending JSON with the requests package
2024-09-01T00:00:00.000Z,Categorical vs. numerical
2024-11-05T00:00:00.000Z,k-Nearest Neighbors: Predict
2024-10-03T00:00:00.000Z,Prompt injection
2024-09-01T00:00:00.000Z,One visualization per group
2024-10-18T00:00:00.000Z,Documentation
2024-09-10T00:00:00.000Z,Iterating over a dataset
2024-08-20T00:00:00.000Z,Plotting time-series with different variables
2024-06-11T00:00:00.000Z,Final thoughts
2024-09-25T00:00:00.000Z,Product features summarization
2024-09-08T00:00:00.000Z,Inspecting datasets
2024-06-13T00:00:00.000Z,Practice with NumPy arrays (1)
2024-09-05T00:00:00.000Z,Introduction to other file types
2024-04-26T00:00:00.000Z,AI for smarter traffic lights
2024-10-04T00:00:00.000Z,Potential for model errors
2024-09-01T00:00:00.000Z,Memory usage knowledge check
2024-09-25T00:00:00.000Z,Creating the get_response() function
2024-07-20T00:00:00.000Z,Changing class attributes (1)
2024-08-14T00:00:00.000Z,Requesting a Selector
2024-06-15T00:00:00.000Z,Using %timeit: your turn! (2)
2024-07-21T00:00:00.000Z,Handling exception hierarchies
2024-06-11T00:00:00.000Z,List comprehensions for time-stamped data
2024-10-13T00:00:00.000Z,Adding data to the collection
2024-08-17T00:00:00.000Z,Capstone
2024-09-01T00:00:00.000Z,Updating categorical plots (1)
2024-06-13T00:00:00.000Z,Practice with NumPy arrays (2)
2024-07-15T00:00:00.000Z,Is your deployed AI system successful?
2024-07-15T00:00:00.000Z,The biased vehicle
2024-09-01T00:00:00.000Z,Adding categories (1)
2024-10-15T00:00:00.000Z,Creating a RAG chain
2024-09-10T00:00:00.000Z,Audio classification
2024-06-11T00:00:00.000Z,Writing an iterator to load data in chunks (5)
2024-10-13T00:00:00.000Z,Enriching embeddings
2024-10-18T00:00:00.000Z,Using your child class
2024-10-05T00:00:00.000Z,Creating embeddings
2024-09-02T00:00:00.000Z,Making requests to the OpenAI API
2024-07-21T00:00:00.000Z,Overloading equality
2024-09-01T00:00:00.000Z,Ordering categories (3)
2024-10-13T00:00:00.000Z,Response codes and APIs (3)
2024-08-13T00:00:00.000Z,Unsupervised learning
2024-09-01T00:00:00.000Z,Grouping data by category in pandas
2024-10-04T00:00:00.000Z,Adversarial testing
2024-04-27T00:00:00.000Z,Working with hierarchies
2024-04-26T00:00:00.000Z,More columns
2024-04-27T00:00:00.000Z,Looking at the data
2024-06-11T00:00:00.000Z,Using * and zip to 'unzip'
2024-07-20T00:00:00.000Z,Using attributes in class definition (3)
2024-10-15T00:00:00.000Z,Integrating a chatbot message history
2024-09-05T00:00:00.000Z,Welcome to the course!
2024-04-27T00:00:00.000Z,Making it look good
2024-06-11T00:00:00.000Z,Writing list comprehensions
2024-06-09T00:00:00.000Z,User-defined functions
2024-04-27T00:00:00.000Z,Choosing the right visual
2024-08-25T00:00:00.000Z,From script to package
2024-11-01T00:00:00.000Z,Dot plots
2024-11-01T00:00:00.000Z,Interpreting bar plots
2024-09-10T00:00:00.000Z,Filtering out audio files (3)
2024-06-11T00:00:00.000Z,Changing the output in generator expressions
2024-10-18T00:00:00.000Z,Leveraging documentation (1)
2024-08-13T00:00:00.000Z,Land of confusion
2024-08-15T00:00:00.000Z,Reveal By Response
2024-07-21T00:00:00.000Z,What do properties do?
2024-11-02T00:00:00.000Z,Axes of evil
2024-06-15T00:00:00.000Z,Using %timeit: formal name or literal syntax (2)
2024-08-28T00:00:00.000Z,Faster package development with templates
2024-10-04T00:00:00.000Z,Setting token limits
2024-10-05T00:00:00.000Z,Digging into the embeddings response (2)
2024-10-04T00:00:00.000Z,Handling the response with external API calls
2024-07-21T00:00:00.000Z,Polymorphic methods
2024-09-02T00:00:00.000Z,In-context learning
2024-09-25T00:00:00.000Z,Controlling output structure
2024-08-20T00:00:00.000Z,Small multiples with shared y axis
2024-09-25T00:00:00.000Z,Input-output examples for code generation
2024-09-25T00:00:00.000Z,Code generation with problem description
2024-08-28T00:00:00.000Z,PyPI classifiers
2024-09-05T00:00:00.000Z,Importing flat files using NumPy
2024-09-08T00:00:00.000Z,Comparing models with the pipeline
2024-08-21T00:00:00.000Z,Saving a file several times (1)
2024-08-15T00:00:00.000Z,You've been `href`ed
2024-08-28T00:00:00.000Z,Installing your package locally
2024-07-20T00:00:00.000Z,OOP termininology
2024-06-11T00:00:00.000Z,Using a list comprehension
2024-10-03T00:00:00.000Z,Prompt engineering
2024-10-18T00:00:00.000Z,Identifying tools
2024-11-01T00:00:00.000Z,Line plots
2024-07-26T00:00:00.000Z,RGB to grayscale
2024-08-21T00:00:00.000Z,Quantitative comparisons: histograms
2024-06-11T00:00:00.000Z,Playing with iterators
2024-10-15T00:00:00.000Z,Splitting external data for retrieval
2024-06-11T00:00:00.000Z,Using conditionals in comprehensions (1)
2024-09-25T00:00:00.000Z,Customizing output format
2024-11-04T00:00:00.000Z,"IaaS, PaaS, or SaaS?"
2024-09-02T00:00:00.000Z,Chat completions with GPT
2024-10-18T00:00:00.000Z,Exploring with dir and help (1)
2024-10-18T00:00:00.000Z,Readability counts
2024-10-15T00:00:00.000Z,OpenAI models in LangChain!
2024-08-28T00:00:00.000Z,Using package templates
2024-07-14T00:00:00.000Z,Split up a function
2024-08-28T00:00:00.000Z,Makefiles and classifiers
2024-11-05T00:00:00.000Z,Overfitting and underfitting
2024-07-21T00:00:00.000Z,Read-only properties (3)
2024-08-28T00:00:00.000Z,Using makefiles
2024-10-04T00:00:00.000Z,Defining function calling
2024-10-14T00:00:00.000Z,Querying and updating the database
2024-09-26T00:00:00.000Z,Advanced fine-tuning
2024-11-01T00:00:00.000Z,Continuous vs. categorical variables
2024-06-09T00:00:00.000Z,Functions that return single values
2024-09-01T00:00:00.000Z,Create a label encoding and map
2024-10-18T00:00:00.000Z,Identifying proper docstrings
2024-10-07T00:00:00.000Z,Visualizing the embedded descriptions (3)
2024-07-14T00:00:00.000Z,Crafting a docstring (3)
2024-08-21T00:00:00.000Z,Creating boxplots
2024-04-26T00:00:00.000Z,Data Analyst in Power BI track
2024-09-01T00:00:00.000Z,Exploring a target variable (3)
2024-10-13T00:00:00.000Z,More repeatable embeddings
2024-09-25T00:00:00.000Z,Customer support chatbot
2024-08-14T00:00:00.000Z,Course Class by Inspection
2024-08-21T00:00:00.000Z,Saving a file several times
2024-07-20T00:00:00.000Z,Add a class constructor (3)
2024-07-20T00:00:00.000Z,Create your first class (3)
2024-07-21T00:00:00.000Z,Exceptions
2024-08-14T00:00:00.000Z,Divvy Up This Exercise (2)
2024-06-11T00:00:00.000Z,Build a generator
2024-09-02T00:00:00.000Z,Intermediate results
2024-10-18T00:00:00.000Z,Using pytest (1)
2024-10-04T00:00:00.000Z,Avoiding inconsistent responses
2024-09-10T00:00:00.000Z,What about the original image?
2024-09-26T00:00:00.000Z,Self vs. multi-head attention
2024-07-21T00:00:00.000Z,Square and rectangle (2)
2024-06-11T00:00:00.000Z,Processing large amounts of Twitter data
2024-08-13T00:00:00.000Z,Supervised learning
2024-09-01T00:00:00.000Z,Exploring a target variable (2)
2024-06-10T00:00:00.000Z,Functions with one default argument
2024-08-15T00:00:00.000Z,Respond Please!
2024-09-25T00:00:00.000Z,Text summarization and expansion
2024-07-15T00:00:00.000Z,Challenges and success stories
2024-04-26T00:00:00.000Z,Inside a pizza AI system
2024-10-13T00:00:00.000Z,Basic Authentication with requests (1)
2024-08-14T00:00:00.000Z,LLMs in the AI landscape
2024-10-15T00:00:00.000Z,The LangChain ecosystem
2024-10-05T00:00:00.000Z,Embedding product descriptions
2024-07-15T00:00:00.000Z,"The ""zen"" of MLOps"
2024-07-15T00:00:00.000Z,Explaining wine quality
2024-10-18T00:00:00.000Z,The need for efficient coding I
2024-11-01T00:00:00.000Z,Histograms
2024-07-21T00:00:00.000Z,Handling exception hierarchies (2)
2024-07-20T00:00:00.000Z,Create a subclass (2)
2024-09-26T00:00:00.000Z,Fine-tune a model
2024-08-21T00:00:00.000Z,Automating figures from data
2024-09-26T00:00:00.000Z,Data concerns and considerations
2024-09-26T00:00:00.000Z,Analyzing literary works
2024-11-05T00:00:00.000Z,k-Nearest Neighbors: Fit
2024-09-15T00:00:00.000Z,Importing MATLAB files
2024-08-13T00:00:00.000Z,What is deep learning?
2024-09-25T00:00:00.000Z,Structured outputs and conditional prompts
2024-08-28T00:00:00.000Z,Importing from parents
2024-09-01T00:00:00.000Z,Creating a point plot
